run	psms
191213_45c_1	11493
191213_45c_2	11889
191213_45c_3	19686
191213_CuII_1	6328
191213_CuII_2	7335
191213_CuII_3	8212
191213_CuII_GSH_1	7111
191213_CuII_GSH_2	8653
191213_CuII_GSH_3	8357
191213_CuI_1	13443
191213_CuI_2	14092
191213_CuI_3	21500
191213_control_30c_1	467
191213_control_30c_2	793
191213_control_30c_3	902
191213_control_Ag_1	19930
191213_control_Ag_2	14533
191213_control_Ag_3	14386
1DLC110217QE_antiEcoli__11_BR1_FASP1_tip1	52848
1DLC110217QE_antiEcoli__11_BR1_FASP1_tip2	50517
1DLC110217QE_antiEcoli__11_BR1_FASP2_tip1	52255
1DLC110217QE_antiEcoli__11_BR1_FASP2_tip2	48090
1DLC110217QE_antiEcoli__11_BR2_FASP1_tip1	51604
1DLC110217QE_antiEcoli__11_BR2_FASP1_tip2	50229
1DLC110217QE_antiEcoli__11_BR2_FASP2_tip1	53705
1DLC110217QE_antiEcoli__11_BR2_FASP2_tip2	53936
1DLC110217QE_antiEcoli__11_BR3_FASP1_tip1	56233
1DLC110217QE_antiEcoli__11_BR3_FASP1_tip2	54130
1DLC110217QE_antiEcoli__11_BR3_FASP2_tip1	51601
1DLC110217QE_antiEcoli__11_BR3_FASP2_tip2	52686
1DLC110217QE_antiEcoli__28_BR1_FASP1_tip1	31995
1DLC110217QE_antiEcoli__28_BR1_FASP1_tip2	28608
1DLC110217QE_antiEcoli__28_BR1_FASP2_tip1	22166
1DLC110217QE_antiEcoli__28_BR1_FASP2_tip2	25121
1DLC110217QE_antiEcoli__28_BR1_run1	45389
1DLC110217QE_antiEcoli__28_BR1_run2	45758
1DLC110217QE_antiEcoli__28_BR2_run1	51532
1DLC110217QE_antiEcoli__28_BR2_run2	52530
1DLC110217QE_antiEcoli__28_BR3_run1	55480
1DLC110217QE_antiEcoli__28_BR3_run2	55812
1DLC110217QE_antiEcoli__28_BR3_run3	53338
1DLC110217QE_antiEcoli__28_BR3_run4	53599
1DLC112017QE_antiEcoli__18_BR2_FASP2	8703
1DLC112017QE_antiEcoli__18_BR2_FASP3	15845
1DLC112017QE_antiEcoli__19_BR2_FASP1	7791
1DLC112017QE_antiEcoli__19_BR2_FASP2	9253
1DLC112017QE_antiEcoli__19_BR2_FASP3	9002
1DLC112117QE_antiEcoli__21_BR2_FASP1	17391
1DLC112117QE_antiEcoli__21_BR2_FASP2	12402
1DLC112117QE_antiEcoli__21_BR2_FASP3	18882
1DLC112117QE_antiEcoli__27_BR2_FASP1	4297
1DLC112117QE_antiEcoli__27_BR2_FASP2	6771
1DLC112117QE_antiEcoli__27_BR2_FASP3	6914
1DLC112317QE_antiEcoli__18_BR3_FASP1	23363
1DLC112317QE_antiEcoli__18_BR3_FASP2	23483
1DLC112317QE_antiEcoli__18_BR3_FASP3	20865
1DLC112317QE_antiEcoli__19_BR3_FASP1	18742
1DLC112317QE_antiEcoli__19_BR3_FASP2	24144
1DLC112317QE_antiEcoli__29_BR2_FASP1	7350
1DLC112317QE_antiEcoli__29_BR2_FASP2	7272
1DLC112317QE_antiEcoli__29_BR2_FASP3	8445
1DLC112317QE_antiEcoli__30_BR2_FASP1	5146
1DLC112317QE_antiEcoli__30_BR2_FASP2	7296
1DLC112317QE_antiEcoli__30_BR2_FASP3	9159
1DLC11517QE_antiEcoli__18_BR1_FASP1	5377
1DLC11517QE_antiEcoli__18_BR1_FASP2	4760
1DLC11517QE_antiEcoli__18_BR1_FASP3	5901
1DLC11517QE_antiEcoli__18_BR2_FASP1	7045
1DLC11517QE_antiEcoli__19_BR1_FASP1	22269
1DLC11517QE_antiEcoli__19_BR1_FASP2	23509
1DLC11517QE_antiEcoli__19_BR1_FASP3	8779
1DLC11517QE_antiEcoli__21_BR1_FASP1	16022
1DLC11517QE_antiEcoli__21_BR1_FASP2	14374
1DLC11517QE_antiEcoli__21_BR1_FASP3	12518
1DLC11517QE_antiEcoli__27_BR1_FASP1	10662
1DLC11517QE_antiEcoli__27_BR1_FASP2	5940
1DLC11517QE_antiEcoli__27_BR1_FASP3	11105
1DLC11517QE_antiEcoli__29_BR1_FASP1	27393
1DLC11517QE_antiEcoli__29_BR1_FASP2	4487
1DLC11517QE_antiEcoli__29_BR1_FASP3	7554
1DLC11517QE_antiEcoli__30_BR1_FASP1	14697
1DLC11517QE_antiEcoli__30_BR1_FASP2	24413
1DLC11517QE_antiEcoli__30_BR1_FASP3	8928
20130113_Ecoli_IB_P04-P23_IDA_1	9499
20130113_Ecoli_IB_P12-P35_IDA_1	18352
20130113_Ecoli_IB_P26-P27_IDA_1	20541
20130115_Ecoli_IB_P07-P39_IDA_1	16713
20130115_Ecoli_IB_P11-P30_IDA_1	16440
20130115_Ecoli_IB_P18-P38_IDA_1	15767
20130221_Ecoli_M9_control_001	23026
20130221_Ecoli_M9_control_002	25517
20130221_Ecoli_M9_control_003	25580
20130422_Ecoli_standard_01	32519
20130422_Ecoli_standard_02	27782
20130422_Ecoli_standard_03	19690
20130422_Ecoli_standard_04	34392
20130422_Ecoli_standard_05	36737
20130422_Ecoli_standard_06	35281
20130530_Ecoli_OGE_frac_01	15946
20130530_Ecoli_OGE_frac_02	19594
20130530_Ecoli_OGE_frac_03	17826
20130530_Ecoli_OGE_frac_04	18698
20130530_Ecoli_OGE_frac_05	12206
20130530_Ecoli_OGE_frac_06	5531
20130530_Ecoli_OGE_frac_07	7964
20130530_Ecoli_OGE_frac_08	13290
20130530_Ecoli_OGE_frac_09	14470
20130530_Ecoli_OGE_frac_10	16283
20130530_Ecoli_OGE_frac_11	14906
20130530_Ecoli_OGE_frac_12	12717
20130530_Ecoli_OGE_frac_13	12162
20130530_Ecoli_OGE_frac_14	9801
20130530_Ecoli_OGE_frac_15	6313
20130530_Ecoli_OGE_frac_16	5946
20130530_Ecoli_OGE_frac_17	3391
20130530_Ecoli_OGE_frac_18	1471
20130530_Ecoli_OGE_frac_19	2725
20130530_Ecoli_OGE_frac_21	10349
20130530_Ecoli_OGE_frac_22	13124
20130530_Ecoli_OGE_frac_23	12635
20130530_Ecoli_OGE_frac_24	7036
20130724_Ecoli_OGE_frac_20	8502
20131002_Ecoli_OGE_frac_01	16839
20131002_Ecoli_OGE_frac_02	20610
20131002_Ecoli_OGE_frac_03	21417
20131002_Ecoli_OGE_frac_04	19920
20131002_Ecoli_OGE_frac_05	11994
20131002_Ecoli_OGE_frac_06	4278
20131002_Ecoli_OGE_frac_07	6530
20131002_Ecoli_OGE_frac_08	10747
20131002_Ecoli_OGE_frac_09	12592
20131002_Ecoli_OGE_frac_10	13835
20131002_Ecoli_OGE_frac_11	13855
20131002_Ecoli_OGE_frac_12	11154
20131002_Ecoli_OGE_frac_13	8877
20131002_Ecoli_OGE_frac_14	9513
20131002_Ecoli_OGE_frac_15	4872
20131002_Ecoli_OGE_frac_16	5543
20131002_Ecoli_OGE_frac_17	3339
20131002_Ecoli_OGE_frac_18	1013
20131002_Ecoli_OGE_frac_19	2108
20131002_Ecoli_OGE_frac_20	4372
20131002_Ecoli_OGE_frac_21	10578
20131002_Ecoli_OGE_frac_22	14104
20131002_Ecoli_OGE_frac_23	12862
20131002_Ecoli_OGE_frac_24	5738
20140606_DMSon_Ecoli_1	10480
20140606_DMSon_Ecoli_10	1774
20140606_DMSon_Ecoli_11	2435
20140606_DMSon_Ecoli_12	9790
20140606_DMSon_Ecoli_13	10415
20140606_DMSon_Ecoli_14	8362
20140606_DMSon_Ecoli_15	10446
20140606_DMSon_Ecoli_16	7091
20140606_DMSon_Ecoli_17	7418
20140606_DMSon_Ecoli_18	6062
20140606_DMSon_Ecoli_19	3299
20140606_DMSon_Ecoli_2	6496
20140606_DMSon_Ecoli_20	4614
20140606_DMSon_Ecoli_21	529
20140606_DMSon_Ecoli_22	3035
20140606_DMSon_Ecoli_23	179
20140606_DMSon_Ecoli_24	1604
20140606_DMSon_Ecoli_25	6723
20140606_DMSon_Ecoli_26	8668
20140606_DMSon_Ecoli_27	10087
20140606_DMSon_Ecoli_28	8233
20140606_DMSon_Ecoli_29	10501
20140606_DMSon_Ecoli_3	8851
20140606_DMSon_Ecoli_30	7485
20140606_DMSon_Ecoli_31	10560
20140606_DMSon_Ecoli_32	6974
20140606_DMSon_Ecoli_33	10156
20140606_DMSon_Ecoli_34	6103
20140606_DMSon_Ecoli_35	9393
20140606_DMSon_Ecoli_36	5957
20140606_DMSon_Ecoli_37	8107
20140606_DMSon_Ecoli_38	5041
20140606_DMSon_Ecoli_39	6188
20140606_DMSon_Ecoli_4	5775
20140606_DMSon_Ecoli_40	4401
20140606_DMSon_Ecoli_41	4060
20140606_DMSon_Ecoli_42	3410
20140606_DMSon_Ecoli_43	1986
20140606_DMSon_Ecoli_44	2650
20140606_DMSon_Ecoli_45	849
20140606_DMSon_Ecoli_46	1998
20140606_DMSon_Ecoli_47	332
20140606_DMSon_Ecoli_5	3970
20140606_DMSon_Ecoli_6	10096
20140606_DMSon_Ecoli_7	7748
20140606_DMSon_Ecoli_8	9194
20140606_DMSon_Ecoli_9	5334
20140625_nano_Ecoli_IDA_1	9444
20140625_nano_Ecoli_IDA_2	9172
20140625_nano_Ecoli_IDA_3	8976
20140625_nano_Ecoli_IDA_4	8984
20140625_nano_Ecoli_IDA_5	8970
20140625_nano_Ecoli_IDA_6	9007
20140814_Ecoli_ASKAneg_P03	13432
20140814_Ecoli_ASKAneg_P04-P23	6507
20140814_Ecoli_ASKAneg_P06	13044
20140814_Ecoli_ASKAneg_P08-P33	14935
20140814_Ecoli_ASKAneg_P10-P34	14328
20140814_Ecoli_ASKAneg_P15	15528
20140814_Ecoli_ASKAneg_P17	13047
20140814_Ecoli_ASKAneg_P19	13477
20140814_Ecoli_ASKAneg_P20-P13	12443
20140814_Ecoli_ASKAneg_P21	9670
20140814_Ecoli_ASKAneg_P22-P43	14482
20140814_Ecoli_ASKAneg_P28-P41	13617
20140814_Ecoli_ASKAneg_P32	14787
20140814_Ecoli_ASKAneg_P42-P02	13354
20140814_Ecoli_ASKAneg_P48	11612
20140814_Ecoli_ASKAneg_P50	12013
20140814_Ecoli_ASKAneg_P51	14080
20140814_Ecoli_ASKAneg_P52	15874
20140814_Ecoli_ASKAneg_P54	14991
20140814_Ecoli_ASKAneg_P56-P31	3339
20150113_Ecoli_IB_P01-P29_IDA_1	15551
20150113_Ecoli_IB_P05-P47_IDA_1	13541
20150113_Ecoli_IB_P07-P39_float_IDA_1	13846
20150113_Ecoli_IB_P09-P25_IDA_1	15270
20150113_Ecoli_IB_P12-P35_float_IDA_1	16939
20150113_Ecoli_IB_P14_IDA_1	12926
20150113_Ecoli_IB_P16-P40_IDA_1	15476
20150113_Ecoli_IB_P24-P44_IDA_1	15192
20150113_Ecoli_IB_P45-P46_IDA_1	6711
20150117_Ecoli_Purification_GFP_IDA_1	3508
20150117_Ecoli_Purification_P15_IDA_1	17447
20150117_Ecoli_Purification_P17_IDA_1	18201
20150117_Ecoli_Purification_P21_IDA_1	15096
20150117_Ecoli_Purification_P48_IDA_1	17474
20150117_Ecoli_Purification_P48_IDA_2	23597
20150117_Ecoli_Purification_P49_IDA_1	8776
20150117_Ecoli_Purification_P49_IDA_2	14015
20150117_Ecoli_Purification_P50_IDA_1	16925
20150117_Ecoli_Purification_P53_IDA_1	9065
20150117_Ecoli_Purification_P53_IDA_2	16690
20150117_Ecoli_Purification_P55_IDA_1	7914
20150117_Ecoli_Purification_P55_IDA_2	14324
20150225_Ecoli_purification_GFP_IDA_1	10683
20150225_Ecoli_purification_M1-5_IDA_1	16669
20150225_Ecoli_purification_M11-14_IDA_1	13309
20150225_Ecoli_purification_M6-8_IDA_1	18735
20150225_Ecoli_purification_M910_IDA_1	12833
20150414_Ecoli_puri_C1_IDA_1	22613
20150414_Ecoli_puri_C2_IDA_1	24244
20150414_Ecoli_puri_C3_IDA_1	20312
20150414_Ecoli_puri_C4_IDA_1	22745
2015408_Ecoli_NiNTA_C1_1	12943
20161222_Q1_MD_colQ1-33_Ecoli_Mat_B1bis	33157
20161222_Q1_MD_colQ1-33_Ecoli_Mat_B2	35449
20161222_Q1_MD_colQ1-33_Ecoli_Mat_B3	35305
20170419_OR13_MH_W3110_D3_cipro_1	43546
20170419_OR13_MH_W3110_D3_cipro_2	43518
20170419_OR13_MH_W3110_D3_cipro_3	44499
20170419_OR13_MH_W3110_control_cipro_1	44360
20170419_OR13_MH_W3110_control_cipro_2	44842
20170419_OR13_MH_W3110_control_cipro_3	44045
20170420_OR13_MH_W3110_D7_cipro_1	43099
20170420_OR13_MH_W3110_D7_cipro_2	43314
20170420_OR13_MH_W3110_D7_cipro_3	43162
20170420_OR13_MH_W3110_Day4_colistin_1	41425
20170420_OR13_MH_W3110_Day4_colistin_2	41157
20170420_OR13_MH_W3110_Day4_colistin_3	42211
20170420_OR13_MH_W3110_Day4_colistin_blk_1	44187
20170420_OR13_MH_W3110_Day4_colistin_blk_2	44588
20170420_OR13_MH_W3110_Day4_colistin_blk_3	43633
20170422_OR13_MH_MCR1_Day4_blk_1	38581
20170422_OR13_MH_MCR1_Day4_blk_2	38505
20170422_OR13_MH_MCR1_Day4_blk_3	38474
2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_01	42773
2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_02	49479
2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_03	42130
2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_04	46593
2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_05	39259
2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_06	39579
2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_01	37682
2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_02	36929
2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_03	31072
2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_04	44057
2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_05	41966
2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_06	48016
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_01	46800
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_02	42237
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_03	43403
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_04	43118
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_05	44646
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_06	43312
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_01	37997
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_02	31618
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_03	29949
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_04	35064
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_05	31901
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_06	25924
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_01	33632
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_02	33727
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_03	36726
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_04	35681
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_05	43266
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_06	28115
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_01	30199
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_02	32975
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_03	26436
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_04	29261
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_05	28411
2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_06	30596
20200109_HFX_SVS_ZhaoK_ColE3plusIm3	1294
20200122_Ecoli_WCL_r1	10600
20200122_Ecoli_WCL_r2	10857
20200122_Ecoli_WCL_r3	11178
20200122_Ecoli_WCL_r4	10578
20200122_Ecoli_WCL_r5	10989
20200122_Ecoli_WCL_r6	10531
20200122_Ecoli_WCL_r7	11370
20200122_Ecoli_WCL_r8	10989
20200124_Ecoli_WCL_r1	11798
20200124_Ecoli_WCL_r10	11758
20200124_Ecoli_WCL_r2	11978
20200124_Ecoli_WCL_r3	11789
20200124_Ecoli_WCL_r4	11265
20200124_Ecoli_WCL_r5	11455
20200124_Ecoli_WCL_r6	12218
20200124_Ecoli_WCL_r7	12400
20200124_Ecoli_WCL_r8	12365
20200124_Ecoli_WCL_r9	12091
20200203_PWS_Ec_NC101_10	50310
20200203_PWS_Ec_NC101_11	48957
20200203_PWS_Ec_NC101_12	52282
20200203_PWS_Ec_NC101_13	52621
20200203_PWS_Ec_NC101_14	50928
20200203_PWS_Ec_NC101_15	50176
20200203_PWS_Ec_NC101_16	52637
20200203_PWS_Ec_NC101_1_20200203183016	51480
20200203_PWS_Ec_NC101_2	49893
20200203_PWS_Ec_NC101_3	50699
20200203_PWS_Ec_NC101_4	50878
20200203_PWS_Ec_NC101_5	52615
20200203_PWS_Ec_NC101_6	52813
20200203_PWS_Ec_NC101_7	52270
20200203_PWS_Ec_NC101_8	48955
20200203_PWS_Ec_NC101_9	52112
20200608_TEB_2h_5-35_EC_atrdef1exp_C_1ug_1	37196
20200608_TEB_2h_5-35_EC_atrdef1exp_C_1ug_3	51253
20200608_TEB_2h_5-35_EC_atrdef1exp_C_1ug_4	54837
20200608_TEB_2h_5-35_EC_atrdef1exp_C_1ug_5	25222
20200608_TEB_2h_5-35_EC_atrdef1exp_H_1ug_2	48198
20200608_TEB_2h_5-35_EC_atrdef1exp_H_1ug_3	50181
20200608_TEB_2h_5-35_EC_atrdef1exp_H_1ug_4	49430
20200608_TEB_2h_5-35_EC_atrdef1exp_h_1ug_5	50244
20210425_LCC_ZK_Elute_40V	5919
20210425_LCC_ZK_Elute_60V	4250
20210425_LCC_ZK_Elute_80V	1099
20210425_LCC_ZK_Input_40V	13048
20210425_LCC_ZK_Input_60V	9325
20210425_LCC_ZK_Input_80V	4181
20210626_LCC_DHY_La_FS-40	5204
20210626_LCC_DHY_La_FS-60	3984
20210626_LCC_DHY_La_FS-80	864
20210626_LCC_DHY_La_P_FS-40	13090
20210626_LCC_DHY_La_P_FS-60	9098
20210626_LCC_DHY_La_P_FS-80	4634
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s01	55156
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s02	56837
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s03	57415
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s04	56932
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s05	56107
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s06	56953
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s07	54430
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s08	55230
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s09	54817
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s10	48451
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s11	48306
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s12	51889
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s13	54596
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s14	54293
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s15	54395
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s16	53608
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s17	50721
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s18	50468
2022-02-08_QE_BK306_AR_Ecoli_Cipro_01	45316
2022-02-08_QE_BK306_AR_Ecoli_Cipro_02	48263
2022-02-08_QE_BK306_AR_Ecoli_Cipro_03	47609
2022-02-08_QE_BK306_AR_Ecoli_Cipro_04	49044
2022-02-08_QE_BK306_AR_Ecoli_Cipro_05	48749
2022-02-08_QE_BK306_AR_Ecoli_Cipro_06	48732
2022-02-08_QE_BK306_AR_Ecoli_Cipro_07	45477
2022-02-08_QE_BK306_AR_Ecoli_Cipro_08	45385
2022-02-08_QE_BK306_AR_Ecoli_Cipro_09	45396
2022-02-08_QE_BK306_AR_Ecoli_Cipro_10	42961
2022-02-08_QE_BK306_AR_Ecoli_Cipro_11	43783
2022-02-08_QE_BK306_AR_Ecoli_Cipro_12	44302
2022-02-08_QE_BK306_AR_Ecoli_Cipro_13	48740
2022-02-08_QE_BK306_AR_Ecoli_Cipro_14	49048
2022-02-08_QE_BK306_AR_Ecoli_Cipro_15	49143
2022-02-08_QE_BK306_AR_Ecoli_Cipro_16	48036
2022-02-08_QE_BK306_AR_Ecoli_Cipro_17	48021
2022-02-08_QE_BK306_AR_Ecoli_Cipro_18	48665
2022-02-08_QE_BK306_AR_Ecoli_Cipro_19	46394
2022-02-08_QE_BK306_AR_Ecoli_Cipro_20	45721
2022-02-08_QE_BK306_AR_Ecoli_Cipro_21	45954
2022-02-08_QE_BK306_AR_Ecoli_Cipro_22	47565
2022-02-08_QE_BK306_AR_Ecoli_Cipro_23	46228
2022-02-08_QE_BK306_AR_Ecoli_Cipro_24	47093
2022-02-08_QE_BK306_AR_Ecoli_Cipro_25	46517
2022-02-08_QE_BK306_AR_Ecoli_Cipro_26	48413
2022-02-08_QE_BK306_AR_Ecoli_Cipro_27	47571
2022-02-08_QE_BK306_AR_Ecoli_Cipro_28	48239
2022-02-08_QE_BK306_AR_Ecoli_Cipro_29	48075
2022-02-08_QE_BK306_AR_Ecoli_Cipro_30	45947
2022-02-08_QE_BK306_AR_Ecoli_Cipro_31	43063
2022-02-08_QE_BK306_AR_Ecoli_Cipro_32	43423
2022-02-08_QE_BK306_AR_Ecoli_Cipro_33	41323
2022-02-08_QE_BK306_AR_Ecoli_Cipro_34	42493
