biosequence_name	biosequence_accession	biosequence_gene_name	is_covering	pct_coverage	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	n_distinct_synpeptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
A0A0H2XJB1	A0A0H2XJB1		C		weak	  1.000	  0.000	10		2									A0A0H2XJB1	7	1				strain/isolate=APEC UPTR A0A0H2XJB1_ECOK1 YacA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=yacA PE=4 SV=1	Escherichia coli
A0A0H2XJG8	A0A0H2XJG8		C		weak	  1.000	  0.000	4		2									A0A0H2XJG8	11	1				strain/isolate=APEC UPTR A0A0H2XJG8_ECOK1 Protein TraJ OS=Escherichia coli O1:K1 / APEC OX=405955 GN=traJ PE=4 SV=1	Escherichia coli
UPI0000003DAA	UPI0000003DAA			9.61													identical	A0A0H2XJG8	A0A0H2XJG8	11	1				strain/isolate=K-12_NCM3722 status=active	Escherichia coli
A0A0H2XJR4	A0A0H2XJR4		C		weak	  1.000	  0.000	1		1									A0A0H2XJR4	23	1				strain/isolate=APEC UPTR A0A0H2XJR4_ECOK1 EitC OS=Escherichia coli O1:K1 / APEC OX=405955 GN=eitC PE=4 SV=1	Escherichia coli
A0A0H2XJS7	A0A0H2XJS7		C		weak	  0.999	  0.000	8		1									A0A0H2XJS7	28	1				strain/isolate=APEC UPTR A0A0H2XJS7_ECOK1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM115 PE=4 SV=1	Escherichia coli
A0A0H2XK49	A0A0H2XK49		C		weak	  0.999	  0.000	2		1									A0A0H2XK49	41	1				strain/isolate=APEC UPTR A0A0H2XK49_ECOK1 DUF3150 domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1R36 PE=4 SV=1	Escherichia coli
A0A0H2XK74	A0A0H2XK74		C		weak	  0.999	  0.000	1		1									A0A0H2XK74	43	1				strain/isolate=APEC UPTR A0A0H2XK74_ECOK1 TerW OS=Escherichia coli O1:K1 / APEC OX=405955 GN=terW PE=4 SV=1	Escherichia coli
A0A0H2XK86	A0A0H2XK86		C		weak	  0.999	  0.000	4		1									A0A0H2XK86	46	1				strain/isolate=APEC UPTR A0A0H2XK86_ECOK1 Putative membrane-bound redox modulator Alx OS=Escherichia coli O1:K1 / APEC OX=405955 GN=terC PE=3 SV=1	Escherichia coli
A0A0H2XKH3	A0A0H2XKH3		C		weak	  0.997	  0.000	1		1									A0A0H2XKH3	52	1				strain/isolate=APEC UPTR A0A0H2XKH3_ECOK1 ATP-binding protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1R64 PE=4 SV=1	Escherichia coli
A0A0H2XKH8	A0A0H2XKH8		C		weak	  0.999	  0.000	1		1									A0A0H2XKH8	53	1				strain/isolate=APEC UPTR A0A0H2XKH8_ECOK1 TerA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=terA PE=4 SV=1	Escherichia coli
A0A0H2XKU3	A0A0H2XKU3		C		weak	  0.999	  0.000	1		1									A0A0H2XKU3	56	1				strain/isolate=APEC UPTR A0A0H2XKU3_ECOK1 TrbG OS=Escherichia coli O1:K1 / APEC OX=405955 GN=trbG PE=4 SV=1	Escherichia coli
B7UTL2	B7UTL2	trbG		13.25													identical	A0A0H2XKU3	A0A0H2XKU3	56	1				strain/isolate=E2348-69 UPTR B7UTL2_ECO27 Conjugal transfer protein TrbG OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=trbG PE=4 SV=1	Escherichia coli
UPI0000003DB2	UPI0000003DB2			13.25													identical	A0A0H2XKU3	A0A0H2XKU3	56	1				strain/isolate=K-12_NCM3722 status=active	Escherichia coli
A0A0H2XKY0	A0A0H2XKY0		C		weak	  1.000	  0.000	1		1									A0A0H2XKY0	61	1				strain/isolate=APEC UPTR A0A0H2XKY0_ECOK1 RepA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=repA PE=4 SV=1	Escherichia coli
A0A0H2XLR2	A0A0H2XLR2		C		weak	  0.999	  0.000	1		1									A0A0H2XLR2	81	1				strain/isolate=APEC UPTR A0A0H2XLR2_ECOK1 DUF1173 domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1R126 PE=4 SV=1	Escherichia coli
A0A0H2YVS7	A0A0H2YVS7		C		weak	  1.000	  0.000	1		1									A0A0H2YVS7	82	1				strain/isolate=APEC UPTR A0A0H2YVS7_ECOK1 Aminopeptidase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=yafT PE=4 SV=1	Escherichia coli
UPI0000D50648	UPI0000D50648			3.45													identical	A0A0H2YVS7	A0A0H2YVS7	82	1				strain/isolate=NC101 status=active	Escherichia coli
A0A0H2YW41	A0A0H2YW41		C		weak	  0.999	  0.000	4		1									A0A0H2YW41	84	1				strain/isolate=APEC UPTR A0A0H2YW41_ECOK1 Phage capsid protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1718 PE=4 SV=1	Escherichia coli
A0A0H2YXD3	A0A0H2YXD3		C		weak	  1.000	  0.000	2		1									A0A0H2YXD3	98	1				strain/isolate=APEC UPTR A0A0H2YXD3_ECOK1 Lysozyme OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_4473 PE=3 SV=1	Escherichia coli
D6IGG8	D6IGG8	ECDG_04469		8.48													identical	A0A0H2YXD3	A0A0H2YXD3	98	1				strain/isolate=B185 UPTR D6IGG8_ECOLX Lysozyme OS=Escherichia coli B185 OX=550676 GN=ECDG_04469 PE=3 SV=1	Escherichia coli
A0A0H2YXF8	A0A0H2YXF8		C		weak	  0.999	  0.000	13		1									A0A0H2YXF8	99	1				strain/isolate=APEC UPTR A0A0H2YXF8_ECOK1 Phage protein C OS=Escherichia coli O1:K1 / APEC OX=405955 GN=c PE=4 SV=1	Escherichia coli
