biosequence_name	biosequence_accession	biosequence_gene_name	is_covering	pct_coverage	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	n_distinct_synpeptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
B7UTL9	B7UTL9	traA			subsumed	  0.000	  0.000	109		15								A0A0H2XJ05	A0A0H2XJ05	1	2				strain/isolate=E2348-69 UPTR B7UTL9_ECO27 Pilin OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=traA PE=3 SV=1	Escherichia coli
B7UTK4	B7UTK4	traN			subsumed	  0.000	  0.000	552		46								A0A0H2XJ23	A0A0H2XJ23	2	3				strain/isolate=E2348-69 UPTR B7UTK4_ECO27 Mating stabilization protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=traN PE=4 SV=1	Escherichia coli
B7UTI0	B7UTI0	E2348_P1_034			subsumed	  0.000	  0.000	41		7								A0A0H2XJ56	A0A0H2XJ56	3	2				strain/isolate=E2348-69 UPTR B7UTI0_ECO27 Uncharacterized protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348_P1_034 PE=3 SV=1	Escherichia coli
A0A0H2Z2U7	A0A0H2Z2U7				subsumed	  0.000	  0.000	42		2								A0A0H2XJ84	A0A0H2XJ84	4	5				strain/isolate=APEC UPTR A0A0H2Z2U7_ECOK1 Transposase OrfA protein of insertion sequence IS629 OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_3498 PE=3 SV=1	Escherichia coli
UPI00000B648C	UPI00000B648C				subsumed	  0.000	  0.000	47		3								A0A0H2XJ84	A0A0H2XJ84	4	5				strain/isolate=ATCC_25922 status=active	Escherichia coli
D6ID91	D6ID91	ECDG_03860			subsumed	  0.000	  0.000	54		15								A0A0H2XJN4	A0A0H2XJN4	18	4				strain/isolate=B185 UPTR D6ID91_ECOLX Hemoglobin-binding protease hbp OS=Escherichia coli B185 OX=550676 GN=ECDG_03860 PE=4 SV=1	Escherichia coli
UPI0001E18542	UPI0001E18542				subsumed	  0.000	  0.000	291		23								A0A0H2YWF4	A0A0H2XJN4	18	4				"strain/isolate=ATCC_25922,NC101 status=active"	Escherichia coli
B7UTI6	B7UTI6	E2348_P1_040			subsumed	  0.000	  0.000	945		31								A0A0H2XJS6	A0A0H2XJS6	27	2				strain/isolate=E2348-69 UPTR B7UTI6_ECO27 AB hydrolase-1 domain-containing protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348_P1_040 PE=3 SV=1	Escherichia coli
UPI00000DE9D0	UPI00000DE9D0				subsumed	  0.000	  0.000	44		11								A0A0H2XK47	A0A0H2XK47	40	3				strain/isolate=ATCC_25922 status=active	Escherichia coli
UPI0001E1752E	UPI0001E1752E				subsumed	  0.000	  0.000	51		12								A0A0H2XK47	A0A0H2XK47	40	3				strain/isolate=NC101 status=active	Escherichia coli
