biosequence_name	biosequence_accession	biosequence_gene_name	is_covering	pct_coverage	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	n_distinct_synpeptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
A0A0H2XJ05	A0A0H2XJ05		C		marginally distinguished	  1.000	  0.000	111		16									A0A0H2XJ05	1	2				strain/isolate=APEC UPTR A0A0H2XJ05_ECOK1 Pilin OS=Escherichia coli O1:K1 / APEC OX=405955 GN=traA PE=3 SV=1	Escherichia coli
UPI000000071C	UPI000000071C			36.36													identical	A0A0H2XJ05	A0A0H2XJ05	1	2				strain/isolate=K-12_NCM3722 status=active	Escherichia coli
A0A0H2XJ56	A0A0H2XJ56		C		marginally distinguished	  1.000	  0.000	42		8									A0A0H2XJ56	3	2				strain/isolate=APEC UPTR A0A0H2XJ56_ECOK1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM69 PE=3 SV=1	Escherichia coli
A0A0H2YWF4	A0A0H2YWF4		C		marginally distinguished	  1.000	  0.000	292		24									A0A0H2XJN4	18	4				strain/isolate=APEC UPTR A0A0H2YWF4_ECOK1 Vacuolating autotransporter OS=Escherichia coli O1:K1 / APEC OX=405955 GN=vat PE=4 SV=1	Escherichia coli
D6IDB2	D6IDB2	ECDG_03029	C		marginally distinguished	  0.999	  0.000	842		13									A0A0H2XJS0	25	3				strain/isolate=B185 UPTR D6IDB2_ECOLX TraT complement resistance protein OS=Escherichia coli B185 OX=550676 GN=ECDG_03029 PE=3 SV=1	Escherichia coli
A0A0H2XJS6	A0A0H2XJS6		C		marginally distinguished	  1.000	  0.000	969		33									A0A0H2XJS6	27	2				strain/isolate=APEC UPTR A0A0H2XJS6_ECOK1 AB hydrolase-1 domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM60 PE=3 SV=1	Escherichia coli
UPI00003763E5	UPI00003763E5		C		marginally distinguished	  0.999	  0.000	12		3									A0A0H2XJY3	32	2				"strain/isolate=ATCC_25922,NC101 status=active"	Escherichia coli
UPI0002A435F6	UPI0002A435F6		C		marginally distinguished	  0.999	  0.000	4		2									A0A0H2XJZ2	35	2				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2XK47	A0A0H2XK47		C		marginally distinguished	  1.000	  0.000	52		13									A0A0H2XK47	40	3				strain/isolate=APEC UPTR A0A0H2XK47_ECOK1 IroE OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM138 PE=4 SV=1	Escherichia coli
A0A0H2XK82	A0A0H2XK82		C		marginally distinguished	  1.000	  0.000	7		2									A0A0H2XK82	45	2				strain/isolate=APEC UPTR A0A0H2XK82_ECOK1 ShiF OS=Escherichia coli O1:K1 / APEC OX=405955 GN=shiF PE=4 SV=1	Escherichia coli
