biosequence_name	biosequence_accession	biosequence_gene_name	is_covering	pct_coverage	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	n_distinct_synpeptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
A0A0H2XJ23	A0A0H2XJ23		C		indistinguishable representative	  1.000	  0.000	558		48									A0A0H2XJ23	2	3				strain/isolate=APEC UPTR A0A0H2XJ23_ECOK1 TraN OS=Escherichia coli O1:K1 / APEC OX=405955 GN=traN PE=4 SV=1	Escherichia coli
UPI00001372F4	UPI00001372F4			66.28													indistinguishable	A0A0H2XJ23	A0A0H2XJ23	2	3				strain/isolate=K-12_NCM3722 status=active	Escherichia coli
A0A0H2XJ84	A0A0H2XJ84		C		indistinguishable representative	  0.999	  0.000	60		4									A0A0H2XJ84	4	5				strain/isolate=APEC UPTR A0A0H2XJ84_ECOK1 Transposase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM97 PE=3 SV=1	Escherichia coli
A0A0H2XKY5	A0A0H2XKY5			35.19													indistinguishable	A0A0H2XJ84	A0A0H2XJ84	4	5				strain/isolate=APEC UPTR A0A0H2XKY5_ECOK1 Transposase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM72 PE=3 SV=1	Escherichia coli
A0A0H2XLD4	A0A0H2XLD4			35.19													indistinguishable	A0A0H2XJ84	A0A0H2XJ84	4	5				strain/isolate=APEC UPTR A0A0H2XLD4_ECOK1 Transposase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM194 PE=3 SV=1	Escherichia coli
B7UP13	B7UP13	E2348C_1085		35.19													identical	A0A0H2XLD4	A0A0H2XJ84	4	5				strain/isolate=E2348-69 UPTR B7UP13_ECO27 Transposase Orf1 of IS629 OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_1085 PE=3 SV=1	Escherichia coli
A0A0H2XJE0	A0A0H2XJE0		C		indistinguishable representative	  0.999	  0.000	3		1									A0A0H2XJE0	8	3				strain/isolate=APEC UPTR A0A0H2XJE0_ECOK1 Antirestriction protein KlcA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM7 PE=3 SV=1	Escherichia coli
D6IDE4	D6IDE4	ECDG_03064		7.8													indistinguishable	A0A0H2XJE0	A0A0H2XJE0	8	3				strain/isolate=B185 UPTR D6IDE4_ECOLX Antirestriction protein yubI OS=Escherichia coli B185 OX=550676 GN=ECDG_03064 PE=3 SV=1	Escherichia coli
UPI00000D41F3	UPI00000D41F3			7.8													indistinguishable	A0A0H2XJE0	A0A0H2XJE0	8	3				strain/isolate=K-12_NCM3722 status=active	Escherichia coli
A0A0H2XJI0	A0A0H2XJI0		C		indistinguishable representative	  0.999	  0.000	267		12									A0A0H2XJI0	14	3				strain/isolate=APEC UPTR A0A0H2XJI0_ECOK1 TraV OS=Escherichia coli O1:K1 / APEC OX=405955 GN=traV PE=4 SV=1	Escherichia coli
