biosequence_name	biosequence_accession	biosequence_gene_name	is_covering	pct_coverage	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	n_distinct_synpeptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
A0A0H2XJ88	A0A0H2XJ88		C		noncore-canonical	  1.000	  0.000	41		11									A0A0H2XJ88	5	1				strain/isolate=APEC UPTR A0A0H2XJ88_ECOK1 EitA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=eitA PE=4 SV=1	Escherichia coli
A0A0H2XJ97	A0A0H2XJ97		C		noncore-canonical	  1.000	  0.000	48		5									A0A0H2XJ97	6	1				strain/isolate=APEC UPTR A0A0H2XJ97_ECOK1 VagC OS=Escherichia coli O1:K1 / APEC OX=405955 GN=vagC PE=3 SV=1	Escherichia coli
A0A0H2XJF3	A0A0H2XJF3		C		noncore-canonical	  0.999	  0.000	110		28									A0A0H2XJF3	9	1				strain/isolate=APEC UPTR A0A0H2XJF3_ECOK1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM160 PE=4 SV=1	Escherichia coli
A0A0H2XJG2	A0A0H2XJG2		C		noncore-canonical	  1.000	  0.000	789		42									A0A0H2XJG2	10	2				strain/isolate=APEC UPTR A0A0H2XJG2_ECOK1 IucA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=iucA PE=3 SV=1	Escherichia coli
UPI0001B5AD40	UPI0001B5AD40		C		noncore-canonical	  1.000	  0.000	572		33									A0A0H2XJG2	10	2				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2XJH4	A0A0H2XJH4		C		noncore-canonical	  1.000	  0.000	631		30									A0A0H2XJH4	12	1				strain/isolate=APEC UPTR A0A0H2XJH4_ECOK1 HlyF OS=Escherichia coli O1:K1 / APEC OX=405955 GN=hlyF PE=4 SV=1	Escherichia coli
A0A0H2XJH6	A0A0H2XJH6		C		noncore-canonical	  0.999	  0.000	353		23									A0A0H2XJH6	13	1				strain/isolate=APEC UPTR A0A0H2XJH6_ECOK1 TraK OS=Escherichia coli O1:K1 / APEC OX=405955 GN=traK PE=4 SV=1	Escherichia coli
B7UTL6	B7UTL6	traK		73.97													identical	A0A0H2XJH6	A0A0H2XJH6	13	1				strain/isolate=E2348-69 UPTR B7UTL6_ECO27 Pilus assembly protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=traK PE=4 SV=1	Escherichia coli
UPI0000003DAE	UPI0000003DAE			73.97													identical	A0A0H2XJH6	A0A0H2XJH6	13	1				strain/isolate=K-12_NCM3722 status=active	Escherichia coli
A0A0H2XJJ4	A0A0H2XJJ4		C		noncore-canonical	  0.999	  0.000	10		4									A0A0H2XJJ4	15	1				strain/isolate=APEC UPTR A0A0H2XJJ4_ECOK1 ParA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=parA PE=4 SV=1	Escherichia coli
A0A0H2XJM8	A0A0H2XJM8		C		noncore-canonical	  0.999	  0.000	4		2									A0A0H2XJM8	17	1				strain/isolate=APEC UPTR A0A0H2XJM8_ECOK1 TerY2 OS=Escherichia coli O1:K1 / APEC OX=405955 GN=terY2 PE=4 SV=1	Escherichia coli
A0A0H2XJN4	A0A0H2XJN4		C		noncore-canonical	  1.000	  0.000	376		43									A0A0H2XJN4	18	4				strain/isolate=APEC UPTR A0A0H2XJN4_ECOK1 Tsh OS=Escherichia coli O1:K1 / APEC OX=405955 GN=tsh PE=4 SV=1	Escherichia coli
A0A0H2XJN6	A0A0H2XJN6		C		noncore-canonical	  0.999	  0.000	23		6									A0A0H2XJN6	19	1				strain/isolate=APEC UPTR A0A0H2XJN6_ECOK1 TerZ OS=Escherichia coli O1:K1 / APEC OX=405955 GN=terZ PE=4 SV=1	Escherichia coli
A0A0H2XJN8	A0A0H2XJN8		C		noncore-canonical	  0.999	  0.000	30		10									A0A0H2XJN8	20	1				strain/isolate=APEC UPTR A0A0H2XJN8_ECOK1 TerE OS=Escherichia coli O1:K1 / APEC OX=405955 GN=terE PE=3 SV=1	Escherichia coli
A0A0H2XJQ1	A0A0H2XJQ1		C		noncore-canonical	  1.000	  0.000	3012		28									A0A0H2XJQ1	21	1				strain/isolate=APEC UPTR A0A0H2XJQ1_ECOK1 Aminoglycoside (3'') (9) adenylyltransferase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=aadA PE=4 SV=1	Escherichia coli
A0A0H2XJQ6	A0A0H2XJQ6		C		noncore-canonical	  1.000	  0.000	265		17									A0A0H2XJQ6	22	1				strain/isolate=APEC UPTR A0A0H2XJQ6_ECOK1 Dihydropteroate synthase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=sulI PE=3 SV=1	Escherichia coli
A0A0H2XJS0	A0A0H2XJS0		C		noncore-canonical	  1.000	  0.000	3091		52									A0A0H2XJS0	25	3				strain/isolate=APEC UPTR A0A0H2XJS0_ECOK1 TraT complement resistance protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=traT PE=3 SV=1	Escherichia coli
B7UTJ2	B7UTJ2	traT	C		noncore-canonical	  1.000	  0.000	2534		43									A0A0H2XJS0	25	3				strain/isolate=E2348-69 UPTR B7UTJ2_ECO27 TraT complement resistance protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=traT PE=3 SV=1	Escherichia coli
UPI0000403470	UPI0000403470			73.25													identical	A0A0H2XJS0	A0A0H2XJS0	25	3				strain/isolate=K-12_NCM3722 status=active	Escherichia coli
A0A0H2XJS3	A0A0H2XJS3		C		noncore-canonical	  1.000	  0.000	643		37									A0A0H2XJS3	26	1				strain/isolate=APEC UPTR A0A0H2XJS3_ECOK1 Protein CR006 P-loop domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM110 PE=4 SV=1	Escherichia coli
A0A0H2XJT7	A0A0H2XJT7		C		noncore-canonical	  1.000	  0.000	9		4									A0A0H2XJT7	30	1				strain/isolate=APEC UPTR A0A0H2XJT7_ECOK1 DNA 3'-5' helicase II OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM78 PE=4 SV=1	Escherichia coli
